primaryTitle,genres,directors,writers,averageRating,numVotes
The Great Gatsby,"Drama,Romance",nm0002338,"nm0280234,nm0000338",6.4,23476
The Holy Mountain,"Adventure,Drama,Fantasy",nm0423524,nm0423524,7.9,37100
The Enigma of Kaspar Hauser,"Biography,Drama,History",nm0001348,"nm0001348,nm0913708",7.8,16433
Lenny,"Biography,Drama",nm0002080,nm0058057,7.6,14668
The Longest Yard,"Comedy,Crime,Drama",nm0000736,"nm0944003,nm0748665",7.1,17106
The Man with the Golden Gun,"Action,Adventure,Thriller",nm0357891,"nm0537363,nm0542539,nm0001220",6.8,95964
Monty Python and the Holy Grail,"Adventure,Comedy,Fantasy","nm0001402,nm0000416","nm0001037,nm0000092,nm0001385,nm0000416,nm0001402,nm0001589,nm0540627",8.2,500462
Murder on the Orient Express,"Crime,Drama,Mystery",nm0001486,"nm0214989,nm0002005,nm0787289",7.3,55953
The Night Porter,Drama,nm0146960,"nm0146960,nm0608289,nm0016628,nm0656011,nm0001648",6.7,11534
The Parallax View,"Drama,Thriller",nm0001587,"nm0318429,nm0783913,nm0801991,nm0001801",7.1,15588
Phantom of the Paradise,"Comedy,Drama,Fantasy",nm0000361,"nm0000361,nm0741544",7.4,16915
The Return of the Pink Panther,"Comedy,Crime,Mystery",nm0001175,"nm0907186,nm0001175",7.1,25098
The Sugarland Express,"Crime,Drama",nm0000229,"nm0059493,nm0730422,nm0000229",6.8,15428
The Taking of Pelham One Two Three,"Action,Crime,Thriller",nm0765121,"nm0323945,nm0832099",7.7,26676
The Texas Chain Saw Massacre,Horror,nm0001361,"nm0377066,nm0001361",7.5,137373
The Three Musketeers,"Action,Adventure",nm0504513,"nm0292129,nm0241416",7.2,15475
Thunderbolt and Lightfoot,"Comedy,Crime,Drama",nm0001047,nm0001047,7.1,22363
The Towering Inferno,"Action,Drama,Thriller",nm0347086,"nm0827827,nm0778743,nm0732631,nm0798103",7.0,39425
A Woman Under the Influence,"Drama,Romance",nm0001023,nm0001023,8.2,21845
Young Frankenstein,Comedy,nm0000316,"nm0000698,nm0000316,nm0791217",8.0,143125
The Mirror,"Biography,Drama",nm0001789,"nm0592735,nm0850493,nm0001789",8.1,39969
Barry Lyndon,"Adventure,Drama,History",nm0000040,"nm0000040,nm0856842",8.1,149610
A Boy and His Dog,"Comedy,Drama,Sci-Fi",nm0428618,"nm0428618,nm0255196,nm0190030",6.5,16558
Hush Hush,"Comedy,Drama,Romance",nm0611531,"nm0304370,nm0611520,nm0347899,nm1100176",8.3,11610
Death Race 2000,"Action,Comedy,Sci-Fi",nm0000860,"nm0858379,nm0341458,nm0577477",6.2,24532
Deewaar,"Action,Crime,Drama",nm0007181,"nm0015287,nm0451311",8.1,10094
Dog Day Afternoon,"Biography,Crime,Drama",nm0001486,"nm0682757,nm0460190,nm0601944,nm0909063",8.0,235407
The Twelve Tasks of Asterix,"Adventure,Animation,Comedy","nm0344382,nm0879853,nm0331453,nm0914471","nm0331453,nm0879853,nm0853456",7.7,15437
The Eiger Sanction,"Action,Crime,Thriller",nm0000142,"nm0237543,nm0614775,nm0872347",6.4,17577
F for Fake,Documentary,"nm0004372,nm0000080,nm0462648,nm0717025","nm0000080,nm0462648",7.8,15135
The Pinchcliffe Grand Prix,"Animation,Comedy,Family",nm0135653,"nm0042013,nm0135658,nm0843545,nm0135653",8.5,12554
French Connection II,"Action,Crime,Drama",nm0001239,"nm0414317,nm0226889,nm0227029,nm0357687",6.8,16674
Grey Gardens,"Comedy,Documentary,Drama","nm0583287,nm0396985,nm0563099,nm0563100",,7.6,12212
Jaws,"Adventure,Thriller",nm0000229,"nm0001940,nm0331956",8.0,543020
Love and Death,"Comedy,War",nm0000095,nm0000095,7.7,36011
The Man Who Would Be King,"Adventure,History,War",nm0001379,"nm0001379,nm0384283,nm0456017",7.8,44857
Nashville,"Comedy,Drama,Music",nm0000265,nm0570219,7.7,23745
Night Moves,"Crime,Mystery,Thriller",nm0671957,nm0788991,7.1,11832
One Flew Over the Cuckoo's Nest,Drama,nm0001232,"nm0369142,nm0325743,nm0450181,nm0913670",8.7,917029
Picnic at Hanging Rock,"Drama,Mystery",nm0001837,"nm0512243,nm0337730",7.5,33718
The Passenger,"Drama,Thriller",nm0000774,"nm0672546,nm0762924,nm0000774,nm0208269",7.6,21413
Deep Red,"Horror,Mystery,Thriller",nm0000783,"nm0000783,nm0953301",7.6,32138
The Rocky Horror Picture Show,"Comedy,Musical",nm0788940,"nm0639782,nm0788940",7.4,133015
Rollerball,"Action,Sci-Fi,Sport",nm0422484,nm0365938,6.6,22517
Rooster Cogburn,"Adventure,Drama,Western",nm0587706,"nm0692427,nm0405054",6.9,10867
"Salò, or the 120 Days of Sodom","Drama,Horror",nm0001596,"nm0001596,nm0162952,nm0002194,nm0211381",5.9,54272
Shampoo,"Comedy,Drama",nm0000797,"nm0001801,nm0000886",6.4,11208
Shivers,"Horror,Sci-Fi",nm0000343,nm0000343,6.4,18470
Sholay,"Action,Adventure,Comedy",nm0802693,"nm0015287,nm0451311",8.2,51244
The Stepford Wives,"Horror,Mystery,Sci-Fi",nm0285302,"nm0505615,nm0001279",6.9,16339
Three Days of the Condor,"Mystery,Thriller",nm0001628,"nm0333600,nm0783913,nm0713128",7.4,48220
Tommy,"Drama,Musical",nm0001692,"nm1277963,nm0001692,nm0870175,nm0258200,nm0007127",6.6,19271
1900,"Drama,History",nm0000934,"nm0033490,nm0078233,nm0000934",7.7,22467
In the Realm of the Senses,"Drama,Romance",nm0651915,"nm0906709,nm0651915",6.6,18389
All the President's Men,"Biography,Drama,History",nm0001587,"nm0077012,nm0940124,nm0001279",8.0,102815
Assault on Precinct 13,"Action,Crime,Thriller",nm0000118,nm0000118,7.4,43881
The Bad News Bears,"Comedy,Drama,Family",nm0006916,nm0484111,7.3,20392
Bugsy Malone,"Comedy,Crime,Family",nm0000570,nm0000570,6.9,16240
Carrie,Horror,nm0000361,"nm0000175,nm0169548",7.4,168237
Crime Busters,"Action,Adventure,Comedy",nm0005645,nm0005645,7.2,10530
The Eagle Has Landed,"Adventure,Drama,Thriller",nm0836328,"nm0542539,nm0383396",6.9,19355
The Enforcer,"Action,Crime,Thriller",nm0267309,"nm0277807,nm0277849,nm0798103,nm0718466,nm0382724,nm0776808",6.8,41553
Eraserhead,"Fantasy,Horror",nm0000186,nm0000186,7.4,102817
Family Plot,"Comedy,Crime,Drama",nm0000033,"nm0499626,nm0134124",6.8,20800
Cross of Iron,"Drama,War",nm0001603,"nm0258493,nm0446011,nm0357925,nm0374504",7.5,25063
The Killing of a Chinese Bookie,"Crime,Drama,Thriller",nm0001023,nm0001023,7.4,11181
King Kong,"Adventure,Horror",nm0347086,"nm0187256,nm0741656,nm0178260,nm0908624,nm0783913",5.9,29685
The Little Girl Who Lives Down the Lane,"Drama,Horror,Mystery",nm0004654,nm0462837,7.1,13059
The Tenant,"Drama,Thriller",nm0000591,"nm0867718,nm0102722,nm0000591",7.7,39849
Logan's Run,"Action,Adventure,Sci-Fi",nm0027183,"nm0329051,nm0634368,nm0425138",6.8,51684
The Man Who Fell to Earth,"Drama,Sci-Fi",nm0001676,"nm0562577,nm0856677",6.7,24162
Marathon Man,"Crime,Thriller",nm0772259,nm0001279,7.4,58192
The Message,"Biography,Drama,History",nm0002160,"nm0185867,nm0252821,nm0252863,nm0252872,nm0536868",8.2,43849
Midway,"Action,Drama,History",nm0806915,nm0762556,6.8,17846
Murder by Death,"Comedy,Crime,Mystery",nm0601800,nm0800319,7.4,34213
Network,Drama,nm0001486,nm0154665,8.1,144765
The Omen,Horror,nm0001149,nm0783544,7.5,107251
The Outlaw Josey Wales,Western,nm0000142,"nm0141620,nm0442241,nm0155963",7.8,65584
The Pink Panther Strikes Again,"Comedy,Crime",nm0001175,"nm0907186,nm0001175",7.2,27896
Robin and Marian,"Adventure,Drama,Romance",nm0504513,nm0063953,6.5,11613
Rocky,"Drama,Sport",nm0000814,nm0000230,8.1,517970
The Shootist,"Drama,Romance,Western",nm0796923,"nm0841933,nm0841935,nm0355005",7.6,22117
Silent Movie,Comedy,nm0000316,"nm0000316,nm0164444,nm0209918,nm0001469",6.7,16049
Silver Streak,"Action,Comedy,Crime",nm0002137,nm0383359,6.9,17805
A Star Is Born,"Drama,Music,Romance",nm0682757,"nm0242869,nm0225820,nm0682757,nm0920074,nm0308604,nm0000659,nm0043486,nm0696319,nm0765091",6.2,10002
Stroszek,"Comedy,Drama",nm0001348,nm0001348,7.9,13085
Taxi Driver,"Crime,Drama",nm0000217,nm0001707,8.3,723619
Three Women,"Drama,Mystery,Thriller",nm0000265,"nm0000265,nm0720334",7.8,13810
The American Friend,"Crime,Drama,Mystery",nm0000694,"nm0383604,nm0000694",7.4,14051
Annie Hall,"Comedy,Romance",nm0000095,"nm0000095,nm0108613",8.0,251652
A Bridge Too Far,"Drama,History,War",nm0000277,"nm0752485,nm0001279",7.4,52121
That Obscure Object of Desire,"Comedy,Drama",nm0000320,"nm0000320,nm0140643,nm0522223",7.9,20755
Close Encounters of the Third Kind,"Drama,Sci-Fi",nm0000229,"nm0000229,nm0059493,nm0069547,nm0384398,nm0730422",7.6,184762
The Deep,"Adventure,Mystery,Thriller",nm0946811,"nm0001940,nm0944003",6.2,11221
The Duellists,"Drama,War",nm0000631,"nm0891126,nm0175676",7.4,19763
Freaky Friday,"Comedy,Family,Fantasy",nm0625379,nm0734742,6.3,11710
The Gauntlet,"Action,Crime,Thriller",nm0000142,"nm0125060,nm0795461",6.4,21090
A Special Day,Drama,nm0778633,"nm0531431,nm0778633,nm0182454",8.1,11910
The Goodbye Girl,"Comedy,Drama,Romance",nm0006889,nm0800319,7.4,12516
High Anxiety,"Comedy,Mystery,Thriller",nm0000316,"nm0000316,nm0164444,nm0209918,nm0001469",6.7,19843
House,"Comedy,Horror",nm0643171,"nm0441554,nm0643168",7.4,21750
Jabberwocky,"Adventure,Comedy,Fantasy",nm0000416,"nm0140902,nm0023395,nm0000416",6.2,13368
The Kentucky Fried Movie,Comedy,nm0000484,"nm0001878,nm0000720,nm0958387",6.5,17116
Who's Singin' Over There?,"Adventure,Comedy,Drama",nm0797672,nm0468169,8.9,14040
The Many Adventures of Winnie the Pooh,"Adventure,Animation,Comedy","nm0789313,nm0718627,nm0522028","nm0590316,nm0166307,nm0942723,nm0314788,nm0040362,nm0027011,nm0841035,nm0075859,nm0166551,nm0382548",7.6,32619
"New York, New York","Drama,Music,Musical",nm0000217,"nm0711996,nm0552731",6.7,18282
Orca,"Adventure,Drama,Horror",nm0027183,"nm0898812,nm0006872,nm0001801",5.8,10593
Pete's Dragon,"Adventure,Animation,Comedy","nm0149548,nm0089940","nm0549393,nm0589316,nm0276039",6.4,22432
Pumping Iron,"Documentary,Sport","nm0278447,nm1000159","nm0301310,nm1000159",7.4,21260
Rabid,"Horror,Sci-Fi",nm0000343,nm0000343,6.3,16140
The Rescuers,"Adventure,Animation,Comedy","nm0522028,nm0718627,nm0828245","nm0789100,nm0166307,nm0027011,nm0858826,nm0314788,nm0585150,nm0075859,nm0524777,nm0560329,nm0780922",6.9,58303
Saturday Night Fever,"Drama,Music",nm0000824,"nm0169936,nm0923319",6.8,71720
Slap Shot,"Comedy,Drama,Sport",nm0001351,nm0235683,7.3,34198
Smokey and the Bandit,"Action,Comedy",nm0624102,"nm0624102,nm0506597,nm0057157,nm0796124,nm0541629",7.0,45187
Soldier of Orange,"Drama,Romance,Thriller",nm0000682,"nm0736361,nm0390537,nm0812121,nm0000682",7.7,10929
Sorcerer,"Adventure,Drama,Thriller",nm0001243,"nm0338396,nm1064118",7.7,18041
The Spy Who Loved Me,"Action,Adventure,Thriller",nm0318150,"nm0228970,nm0537363,nm0001220",7.1,98772
Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",nm0000184,nm0000184,8.6,1230194
Suspiria,Horror,nm0000783,"nm0000783,nm0630453,nm0211063",7.4,80293
Wizards,"Adventure,Animation,Fantasy",nm0000835,nm0000835,6.5,10574
The Boys from Brazil,"Drama,Mystery,Sci-Fi",nm0769874,"nm0505615,nm0332392",7.0,25627
Capricorn One,"Action,Adventure,Drama",nm0001382,nm0001382,6.9,20248
Coma,"Drama,Horror,Mystery",nm0000341,"nm0000341,nm0177257",6.9,17449
Coming Home,"Drama,Romance,War",nm0000797,"nm0759029,nm0002717,nm0235683,nm0943382",7.3,12340
Convoy,"Action,Drama",nm0001603,"nm0636165,nm0204353,nm0295588",6.4,15156
Damien: Omen II,Horror,"nm0388198,nm0852279","nm0076748,nm0783544,nm0542970,nm0388198",6.3,29346
Dawn of the Dead,"Action,Adventure,Horror",nm0001681,nm0001681,7.9,111423
Days of Heaven,"Drama,Romance",nm0000517,nm0000517,7.8,52788
Death on the Nile,"Crime,Drama,Mystery",nm0347086,"nm0787289,nm0002005",7.3,28669
The Deer Hunter,"Drama,War",nm0001047,"nm0001047,nm0913346,nm0307311,nm0714793",8.1,311049
Don,"Action,Crime,Thriller",nm0056423,"nm0015287,nm0451311",7.8,11290
The Driver,"Action,Crime,Thriller",nm0001353,nm0001353,7.2,14424
Every Which Way but Loose,"Action,Comedy",nm0267309,nm0472213,6.4,23208
Force 10 from Navarone,"Action,Drama,War",nm0357891,"nm0533745,nm0152509,nm0286025",6.4,16677
Foul Play,"Comedy,Mystery,Thriller",nm0383359,nm0383359,6.8,13705
The Fury,"Horror,Sci-Fi,Thriller",nm0000361,nm0268468,6.4,13648
Game of Death,"Action,Crime,Drama","nm0167195,nm0000045","nm0167195,nm0000045",6.1,17137
Grease,"Musical,Romance",nm0459170,"nm0414448,nm0143558,nm0940125,nm0139591",7.2,241764
Halloween,"Horror,Thriller",nm0000118,"nm0000118,nm0384185",7.7,232922
Heaven Can Wait,"Comedy,Fantasy,Romance","nm0000886,nm0377750","nm0561938,nm0000886,nm0781895,nm0001801",6.9,18645
The Hills Have Eyes,"Horror,Thriller",nm0000127,nm0000127,6.3,30388
Autumn Sonata,"Drama,Music",nm0000005,nm0000005,8.2,26718
I Spit on Your Grave,"Horror,Thriller",nm0953392,nm0953392,5.7,25952
Interiors,Drama,nm0000095,nm0000095,7.4,18273
Invasion of the Body Snatchers,"Horror,Sci-Fi",nm0442241,"nm0725379,nm0278277",7.4,53190
Jaws 2,"Adventure,Horror,Thriller",nm0844358,"nm0001940,nm0331956,nm0755274",5.8,70683
The Last Waltz,"Biography,Documentary,Music",nm0000217,nm0552731,8.2,16258
The Lord of the Rings,"Adventure,Animation,Fantasy",nm0000835,"nm0174723,nm0063566,nm0866058",6.2,29616
Midnight Express,"Biography,Crime,Drama",nm0000570,"nm0000231,nm0370907,nm0388772",7.6,73608
National Lampoon's Animal House,Comedy,nm0000484,"nm0000601,nm0448469,nm0588082",7.5,111914
Piranha,"Comedy,Horror,Sci-Fi",nm0001102,"nm0733015,nm0000626",5.9,18970
Revenge of the Pink Panther,"Comedy,Crime,Mystery",nm0001175,"nm0907186,nm0164444,nm0001175",6.7,20126
The 36th Chamber of Shaolin,"Action,Adventure,Drama",nm0514906,nm0393250,7.7,14858
Snake in the Eagle's Shadow,"Action,Comedy",nm0950759,"nm2359321,nm2362852,nm0519731,nm0628838,nm0874619",7.4,10654
Superman,"Action,Adventure,Drama",nm0001149,"nm0796950,nm0795975,nm0701374,nm0628058,nm0628174,nm0000914,nm0542539",7.3,159116
Up in Smoke,"Comedy,Music","nm0001045,nm0004693","nm0001045,nm0001507",7.0,36169
Watership Down,"Adventure,Animation,Drama","nm0399524,nm0742034","nm0011293,nm0399524,nm0742034",7.6,33629
The Wild Geese,"Action,Adventure,Drama",nm0572132,"nm0741627,nm2089672",6.8,11615
The Wiz,"Adventure,Family,Fantasy",nm0001486,"nm0000875,nm0114912,nm0001708",5.5,13818
And Justice for All,"Crime,Drama,Thriller",nm0422484,"nm0193224,nm0001469",7.4,30904
10,"Comedy,Romance",nm0001175,nm0001175,6.1,15199
1941,"Action,Comedy,War",nm0000229,"nm0000709,nm0301826,nm0587518",5.8,31366
Alien,"Horror,Sci-Fi",nm0000631,"nm0639321,nm0795953",8.4,786960
All That Jazz,"Drama,Music,Musical",nm0002080,"nm0015899,nm0002080",7.9,28190
The Amityville Horror,Horror,nm0742341,"nm0827839,nm0030663,nm0527567,nm0527582",6.3,35306
Apocalypse Now,"Drama,Mystery,War",nm0000338,"nm0587518,nm0000338,nm0380282,nm0175676",8.4,605700
Being There,"Comedy,Drama",nm0000797,"nm0467085,nm0002717",8.0,65568
The Black Hole,"Action,Sci-Fi",nm0625379,"nm0741775,nm0053267,nm0484479,nm0206409",6.0,23404
The Black Stallion,"Adventure,Family,Sport",nm0050597,"nm0558953,nm0742236,nm0937074,nm0267690,nm0004555",7.3,11753
The Tin Drum,"Drama,War",nm0772522,"nm0335848,nm0140643,nm0772522,nm0782704",7.5,22283
Breaking Away,"Comedy,Drama,Romance",nm0946811,nm0856270,7.7,21667
The Brood,"Horror,Sci-Fi",nm0000343,nm0000343,6.9,25912
Cannibal Holocaust,"Adventure,Horror",nm0219959,"nm0166405,nm0824216",5.9,50764
The China Syndrome,"Drama,Thriller",nm0108745,"nm0336831,nm0177304,nm0108745",7.4,27130
The Marriage of Maria Braun,Drama,nm0001202,"nm0297064,nm0617504,nm0001202,nm0704624",7.8,12337
Escape from Alcatraz,"Action,Biography,Crime",nm0796923,"nm0115431,nm0876227",7.6,121461
Hanky Panky,"Comedy,Romance",nm0611531,"nm1171925,nm0080432,nm0713592",8.6,17948
The Great Train Robbery,"Adventure,Crime,Drama",nm0000341,nm0000341,6.9,16022
Hair,"Comedy,Drama,Musical",nm0001232,"nm0706551,nm0705735,nm0919876",7.6,35044
The Jerk,Comedy,nm0005348,"nm0000188,nm0331956,nm0253498",7.2,52992
Kramer vs. Kramer,Drama,nm0000914,"nm0180011,nm0000914",7.8,133164
Monty Python's Life of Brian,Comedy,nm0001402,"nm0001037,nm0000092,nm0000416,nm0001385,nm0001402,nm0001589",8.1,366896
Mad Max,"Action,Adventure,Sci-Fi",nm0004306,"nm0565537,nm0004306,nm0447945",6.9,191613
Manhattan,"Comedy,Drama,Romance",nm0000095,"nm0000095,nm0108613",7.9,131340
Meatballs,Comedy,nm0718645,"nm0089676,nm0325175,nm0020626,nm0000601",6.2,19163
Moonraker,"Action,Adventure,Sci-Fi",nm0318150,"nm0228970,nm0001220,nm0026755,nm0059483",6.3,91314
Moscow Does Not Believe in Tears,"Comedy,Drama,Romance",nm0579828,"nm0155990,nm0579828",8.1,11528
The Muppet Movie,"Adventure,Comedy,Family",nm0292419,"nm0432075,nm0122698",7.6,32771
Norma Rae,Drama,nm0728688,"nm0712419,nm0290809",7.3,10455
Nosferatu the Vampyre,"Drama,Horror",nm0001348,"nm0001348,nm0831290",7.5,32589
Phantasm,"Horror,Sci-Fi",nm0181741,nm0181741,6.7,32425
Quadrophenia,"Drama,Music",nm0734466,"nm0402039,nm0826369,nm0734466,nm0870175",7.3,17227
Rocky II,"Drama,Sport",nm0000230,nm0000230,7.3,191864
Lupin the 3rd: Castle of Cagliostro,"Adventure,Animation,Family",nm0594503,"nm0700578,nm0594503,nm1500897,nm0556856,nm0495728",7.7,26952
Scum,"Crime,Drama",nm0164639,nm0591736,7.6,10226
Stalker,"Drama,Sci-Fi",nm0001789,"nm0835297,nm0835298,nm0001789",8.2,116690
Star Trek: The Motion Picture,"Adventure,Mystery,Sci-Fi",nm0936404,"nm0734472,nm0515245,nm0287669",6.4,81590
Tess,"Drama,Romance",nm0000591,"nm0102722,nm0000591,nm0115224,nm0362762",7.3,15237
Time After Time,"Adventure,Drama,Sci-Fi",nm0583292,"nm7375907,nm0371051,nm0583292",7.1,15316
Zombie,Horror,nm0002086,"nm0108978,nm0332417",6.9,25551
The Wanderers,"Crime,Drama,Romance",nm0442241,"nm0697115,nm0442249,nm0442241",7.4,10072
The Warriors,"Action,Crime,Thriller",nm0001353,"nm0951050,nm0787072,nm0001353",7.6,93780
Drunken Master,"Action,Comedy",nm0950759,"nm0519731,nm0628838",7.5,36641
Breaker Morant,"Drama,History,War",nm0000915,"nm0362682,nm0828350,nm0000915,nm0484574,nm1633157,nm0219844",7.8,12074
9 to 5,Comedy,nm0383359,"nm0720334,nm0383359",6.9,27659
Airplane!,Comedy,"nm0000720,nm0001878,nm0958387","nm0000720,nm0001878,nm0958387,nm0058826,nm0150712,nm0354150",7.7,214661
Alligator,"Horror,Sci-Fi,Thriller",nm0853546,"nm0000626,nm0673772",6.0,10739
Altered States,"Horror,Sci-Fi,Thriller",nm0001692,nm0154665,6.9,32130
American Gigolo,"Crime,Drama,Mystery",nm0001707,nm0001707,6.3,21626
Any Which Way You Can,"Action,Comedy",nm0887174,"nm0792589,nm0472213",6.2,17502
Atlantic City,"Crime,Drama,Romance",nm0001501,nm0345359,7.3,15117
The Big Red One,"Drama,War",nm0002087,nm0002087,7.1,18626
The Blue Lagoon,"Adventure,Drama,Romance",nm0459170,"nm0821070,nm0829343",5.8,62970
The Blues Brothers,"Action,Adventure,Comedy",nm0000484,"nm0000101,nm0000484",7.9,182994
Bronco Billy,"Action,Adventure,Comedy",nm0000142,nm0352518,6.1,10891
Brubaker,"Crime,Drama",nm0742341,"nm0725379,nm0743232,nm0615467,nm0404880,nm0706182",7.2,15973
Caddyshack,"Comedy,Sport",nm0000601,"nm0236519,nm0000601,nm0448469",7.3,105070
Caligula,"Drama,History",nm0000972,"nm0000683,nm0000532,nm0195148,nm0345579,nm0525319,nm0744017,nm0744023,nm0925682",5.4,33518
The Changeling,Horror,nm0575389,"nm0403028,nm0337008,nm0534701",7.2,30344
Cheech and Chong's Next Movie,"Comedy,Crime,Sci-Fi",nm0001045,"nm0001045,nm0001507",6.1,11905
Coal Miner's Daughter,"Biography,Drama,Music",nm0000776,"nm0725564,nm0528750,nm1557917",7.5,16701
Cruising,"Crime,Drama,Mystery",nm0001243,"nm0001243,nm1558002",6.5,19083
The Last Metro,"Drama,Romance,War",nm0000076,"nm0000076,nm0771535,nm0344467",7.4,12597
Dressed to Kill,"Crime,Drama,Mystery",nm0000361,nm0000361,7.1,35493
The Elephant Man,"Biography,Drama",nm0000186,"nm0212246,nm0075015,nm0000186,nm0872375,nm0598744",8.1,219797
Star Wars: Episode V - The Empire Strikes Back,"Action,Adventure,Fantasy",nm0449984,"nm0102824,nm0001410,nm0000184",8.7,1158033
Fame,"Drama,Music,Musical",nm0000570,nm0330731,6.6,20325
The Final Countdown,"Action,Sci-Fi",nm0852279,"nm0403065,nm0694268,nm0024388,nm0204651",6.7,21376
Flash Gordon,"Action,Adventure,Sci-Fi",nm0388198,"nm0783913,nm0021363,nm0713204",6.5,51057
The Fog,"Horror,Thriller",nm0000118,"nm0000118,nm0384185",6.8,64385
Friday the 13th,"Horror,Mystery,Thriller",nm0192446,"nm0566699,nm0413826",6.5,119988
The Gods Must Be Crazy,"Adventure,Comedy",nm0371059,nm0371059,7.3,52456
Heaven's Gate,"Adventure,Drama,Western",nm0001047,nm0001047,6.8,13710
Inferno,Horror,nm0000783,"nm0000783,nm0211063,nm0630453",6.6,18799
Kagemusha,"Drama,History,War",nm0000041,"nm0406836,nm0000041",8.0,32161
Lion of the Desert,"Biography,Drama,History",nm0002160,"nm0124878,nm0185867,nm1722111",8.4,14173
The Long Good Friday,"Crime,Drama,Mystery",nm0533334,nm0444423,7.6,19156
Maniac,"Crime,Drama,Horror",nm0527350,"nm0742186,nm0818874",6.5,14771
Motel Hell,"Comedy,Horror,Thriller",nm0175428,"nm0415483,nm0415498,nm0875748,nm6259478",6.0,10100
Ordinary People,Drama,nm0000602,"nm0346407,nm0765091,nm0235683",7.7,47032
City of the Living Dead,Horror,nm0002086,"nm0002086,nm0332417,nm0522454,nm1270209",6.3,15701
Popeye,"Adventure,Comedy,Family",nm0000265,"nm0270547,nm0781918",5.3,29476
Private Benjamin,"Comedy,War",nm0956052,"nm0583600,nm0796124,nm0588458",6.2,23530
Prom Night,"Horror,Thriller",nm0528420,"nm0337008,nm0349953",5.4,15741
Raging Bull,"Biography,Drama,Sport",nm0000217,"nm0483766,nm0141734,nm0678014,nm0001707,nm0552731",8.2,321466
Scanners,"Horror,Sci-Fi,Thriller",nm0000343,nm0000343,6.8,48476
The Shining,"Drama,Horror",nm0000040,"nm0000175,nm0000040,nm0424956",8.4,897112
Smokey and the Bandit II,"Action,Comedy",nm0624102,"nm0624102,nm0506597,nm0069547,nm0946717,nm0437393",5.3,14720
Somewhere in Time,"Drama,Fantasy,Romance",nm0844358,nm0558577,7.2,26815
Stardust Memories,"Comedy,Drama",nm0000095,nm0000095,7.3,21153
Stir Crazy,"Comedy,Crime",nm0001627,"nm0295171,nm0085883",6.8,25385
Superman II,"Action,Adventure,Sci-Fi","nm0001149,nm0504513","nm0796950,nm0795975,nm0701374,nm0628058,nm0628174,nm0542539",6.8,98103
Time Bandits,"Adventure,Comedy,Fantasy",nm0000416,"nm0001589,nm0000416",7.0,58609
Urban Cowboy,"Drama,Romance,Western",nm0108745,"nm0490061,nm0108745",6.4,13371
Used Cars,Comedy,nm0000709,"nm0000709,nm0301826",6.8,13630
Where the Buffalo Roam,"Biography,Comedy",nm0513165,"nm0860219,nm0443329",6.7,11146
Xanadu,"Fantasy,Musical,Romance",nm0339254,"nm0200671,nm0747822",5.3,12085
Absence of Malice,"Drama,Romance,Thriller",nm0001628,"nm0525104,nm0713128",6.9,11965
An American Werewolf in London,"Comedy,Horror",nm0000484,nm0000484,7.5,92774
Arthur,"Comedy,Romance",nm0330619,nm0330619,6.9,25804
Blow Out,"Crime,Drama,Mystery",nm0000361,"nm0000361,nm0581785",7.4,44516
Body Heat,"Crime,Drama,Romance",nm0001410,nm0001410,7.4,30887
Das Boot,"Adventure,Drama,Thriller",nm0000583,"nm0000583,nm0118164",8.3,231597
The Burning,Horror,nm0562699,"nm0005544,nm0562699,nm0340522,nm0492969,nm0918424",6.4,16015
The Cannonball Run,"Action,Comedy,Sport",nm0624102,nm0946717,6.3,33181
Chariots of Fire,"Biography,Drama,Sport",nm0399853,nm0919815,7.2,54779
Christiane F.,"Biography,Drama",nm0248942,"nm0917833,nm0379266,nm0726072,nm0248942",7.6,21778
Clash of the Titans,"Action,Adventure,Family",nm0204471,nm0189117,6.9,41177
Conan the Barbarian,"Action,Adventure,Fantasy",nm0587518,"nm0397574,nm0587518,nm0000231,nm0838598",6.9,137150
Death Wish II,"Action,Crime,Drama",nm0935382,"nm0257168,nm0307257,nm0935382",6.1,14533
Diva,"Music,Thriller",nm0000894,"nm0644073,nm0000894,nm0887015",7.1,11906
Dragonslayer,"Action,Adventure,Fantasy",nm0730422,"nm0059493,nm0730422",6.7,15072
The Beyond,Horror,nm0002086,"nm0332417,nm0548151,nm0002086,nm0522454,nm1270209",6.8,20283
The Entity,"Drama,Horror",nm0002089,nm0208342,6.7,14852
Escape from New York,"Action,Adventure,Sci-Fi",nm0000118,"nm0000118,nm0145309",7.2,126337
Excalibur,"Adventure,Drama,Fantasy",nm0000958,"nm0540627,nm0657853,nm0000958",7.4,57172
The Final Conflict,Horror,nm0048491,"nm0783544,nm0001949",5.6,18508
For Your Eyes Only,"Action,Adventure,Thriller",nm0322515,"nm0537363,nm0933865,nm0001220",6.7,92354
The Fox and the Hound,"Adventure,Animation,Drama","nm0075859,nm0723704,nm0828245,nm0359457,nm0718627","nm0543438,nm0166307,nm0075859,nm0585150,nm0949954,nm0560329,nm0401362,nm0470928,nm0314788",7.3,84774
The French Lieutenant's Woman,"Drama,Romance",nm0718554,"nm0288826,nm0056217,nm0718554",7.0,12171
Friday the 13th Part 2,"Horror,Mystery,Thriller",nm0591171,"nm0413826,nm0566699,nm0192446",6.1,59396
The Funhouse,Horror,nm0001361,nm0088746,5.9,12261
