primaryTitle,genres,directors,writers,averageRating,numVotes
The Salesman,Drama,nm1410815,nm1410815,7.8,51104
Wakefield,Drama,nm0842523,"nm0230039,nm0842523,nm0370426",6.3,15384
Wolfwalkers,"Adventure,Animation,Family","nm2075487,nm1119079","nm3822528,nm1119079,nm2075487,nm0165995",8.1,10661
The Willoughbys,"Adventure,Animation,Comedy","nm1448881,nm2329165,nm2578418","nm2329165,nm5313092,nm0523342",6.4,13005
Operation Finale,"Biography,Drama,History",nm0919363,nm7736820,6.6,32346
Oasis: Supersonic,"Biography,Documentary,Music",nm1475971,,7.9,10252
The Wailing,"Horror,Mystery,Thriller",nm2947553,nm2947553,7.5,51538
Hotel Transylvania 3: Summer Vacation,"Adventure,Animation,Comedy",nm0850733,"nm0850733,nm0567112",6.3,57590
Aquarius,Drama,nm2207625,nm2207625,7.5,18248
The Other Side of Hope,"Comedy,Drama",nm0442454,nm0442454,7.2,10914
The Eyes of My Mother,"Drama,Horror",nm2073372,nm2073372,6.2,11386
61 Days,"Comedy,Drama",nm1729048,nm1729048,7.4,12085
How It Ends,"Action,Adventure,Drama",nm1270033,nm4943950,5.0,44707
Paterson,"Comedy,Drama,Romance",nm0000464,"nm0000464,nm0931937,nm3143010",7.4,70283
Chappaquiddick,"Drama,History,Thriller",nm0192845,"nm1844039,nm1905002",6.4,12008
Lo and Behold: Reveries of the Connected World,Documentary,nm0001348,nm0001348,7.0,11937
O.J.: Made in America,"Biography,Crime,Documentary",nm1554601,,8.9,17503
Tickled,"Documentary,Mystery","nm1190816,nm3910931",,7.5,16617
Neerja,"Biography,Drama,Thriller",nm0534879,"nm6319218,nm2016161",7.7,20932
Eli,"Drama,Horror,Mystery",nm1164602,"nm3616958,nm1968372,nm3915456",5.7,29008
All the Money in the World,"Biography,Crime,Drama",nm0000631,"nm0769227,nm0669301",6.8,74448
Marshall,"Biography,Crime,Drama",nm0399737,"nm7817658,nm1105617",7.3,20744
Happy End,Drama,nm0359734,nm0359734,6.7,13194
Set It Up,"Comedy,Romance",nm0768957,nm4199289,6.5,42667
Happy Death Day,"Horror,Mystery,Thriller",nm0484907,nm1245146,6.6,116579
Saala Khadoos,"Action,Drama,Sport",nm1464314,"nm1464314,nm0534856,nm8260883,nm3555217,nm8245357,nm1242454",7.6,11354
Your Name.,"Animation,Drama,Fantasy",nm1396121,"nm1396121,nm1038805",8.4,194028
Never Look Away,"Biography,Drama,Romance",nm0003697,nm0003697,7.7,16064
Sairat,"Drama,Romance",nm5616219,"nm5616219,nm7827190",8.3,11375
Close,"Action,Drama,Thriller",nm2351920,"nm2351920,nm2374886",5.7,21110
Wish Upon,"Drama,Fantasy,Horror",nm0502954,nm3011547,5.0,18427
A Silent Voice: The Movie,"Animation,Drama,Family",nm2210720,"nm7835741,nm1027089,nm2116827",8.1,47325
Lean on Pete,Drama,nm0354091,"nm0354091,nm2922439",7.2,11354
Mirror Game,"Crime,Mystery,Thriller",nm2755490,"nm7861816,nm7861817,nm7861818",9.1,23064
The Hurricane Heist,"Action,Adventure,Crime",nm0003418,"nm0934698,nm1144003,nm0277759,nm0204313",5.1,18975
Wind River,"Crime,Drama,Mystery",nm0792263,nm0792263,7.7,204834
Sound of Metal,"Drama,Music",nm2942187,"nm2942187,nm3473150,nm0161834",7.8,24998
Detroit,"Crime,Drama,History",nm0000941,nm1676793,7.3,48103
Anon,"Crime,Sci-Fi,Thriller",nm0629272,nm0629272,6.1,37535
Official Secrets,"Biography,Crime,Drama",nm0004303,"nm0077135,nm0077052,nm0004303,nm7897854,nm9667655",7.3,33445
Diego Maradona,"Biography,Documentary,Sport",nm0438090,,7.7,13697
Colette,"Biography,Drama,History",nm0922903,"nm0322144,nm0922903,nm0501947",6.7,19444
Logan Lucky,"Comedy,Crime,Drama",nm0001752,nm0039583,7.0,130749
Theri,"Action,Drama,Thriller",nm5961051,"nm5961051,nm8024751",7.1,13763
Life,"Horror,Sci-Fi,Thriller",nm1174251,"nm1014201,nm1116660",6.6,207105
24 Hours to Live,"Action,Sci-Fi,Thriller",nm0810706,"nm0593856,nm0572151,nm3916149",5.8,12514
Kaabil,"Action,Crime,Drama",nm0348495,"nm1300956,nm7936378,nm8661566",7.1,24214
Hotel Mumbai,"Action,Drama,History",nm2285536,"nm0171722,nm2285536",7.6,53120
Mom and Dad,"Comedy,Horror,Thriller",nm0962729,nm0962729,5.5,20570
The Big Sick,"Comedy,Drama,Romance",nm0795290,"nm5077137,nm3529685",7.5,121071
Deadpool 2,"Action,Adventure,Comedy",nm0500610,"nm1014201,nm1116660,nm0005351,nm0509580,nm1436760",7.7,477683
7 Days in Entebbe,"Action,Drama,History",nm0655683,nm2954373,5.8,13882
Hostiles,"Drama,Western",nm0178376,"nm0178376,nm0829329",7.2,71113
